,best_ind,fitness,tree_size,tree_depth,fitness_over_gen
1,"if_op(sub(1, 2), mult(sub(sub(x, x), if_op(sub(sin(2), add(sin(protected_div(sin(2), sub(1, 2))), if_op(sub(1, 3), sin(protected_div(x, 3)), add(add(protected_div(mult(x, add(protected_div(x, 3), protected_div(1, x))), 3), protected_div(1, x)), 3), 2))), sub(squared(sub(2, 3)), sub(squared(x), add(mult(x, add(protected_div(x, x), protected_div(add(add(protected_div(1, 3), protected_div(protected_div(x, mult(sub(2, sub(x, add(sin(if_op(1, 1, x, 2)), if_op(1, sin(x), add(add(protected_div(1, 3), protected_div(1, x)), 3), sin(1))))), squared(3))), x)), 3), x))), protected_div(1, if_op(mult(sub(x, 2), squared(2)), if_op(mult(1, 1), mult(x, 1), protected_div(3, 2), squared(2)), sin(mult(1, x)), sub(if_op(2, 2, x, x), add(1, x))))))), squared(squared(mult(3, mult(x, add(protected_div(x, 3), protected_div(1, x)))))), 1)), protected_div(x, mult(3, 1))), add(protected_div(x, mult(if_op(sub(sin(2), add(sin(sin(add(sub(add(protected_div(x, squared(if_op(3, 3, 1, x))), protected_div(1, x)), 1), sin(1)))), if_op(sub(1, 3), sin(protected_div(x, 3)), add(add(protected_div(mult(x, add(protected_div(x, 3), protected_div(1, x))), 3), protected_div(1, x)), 3), 2))), sub(squared(sub(2, 3)), sub(squared(x), add(mult(x, add(protected_div(x, x), protected_div(add(add(protected_div(1, 3), protected_div(protected_div(x, mult(sub(2, sub(x, add(sin(if_op(1, 1, 3, 2)), if_op(1, sin(x), add(add(protected_div(1, 3), protected_div(1, x)), 3), sin(1))))), squared(3))), x)), 3), x))), protected_div(1, x)))), squared(squared(mult(3, mult(x, add(protected_div(x, 3), protected_div(1, x)))))), 1), x)), sub(3, sin(2))), add(protected_div(x, mult(x, add(protected_div(x, 3), protected_div(1, x)))), protected_div(1, x)))","(0.007426545391160802,)",303,23,"[6.852039016492088, 6.111657009175078, 5.919567683351719, 5.851373900484722, 5.5391060684635125, 5.208977095311501, 5.028211257063255, 4.547202212335743, 4.088074964713405, 2.9994376755875005, 2.1865696755875, 1.8366861755875, 1.5192632755875, 1.2445226755875, 1.0692987539208336, 0.8603037255179636, 0.7611641478097223, 0.7210279255875001, 0.6779411144763887, 0.5726908236059224, 0.498900020857694, 0.4255629458872435, 0.34161900892083324, 0.27853856447638886, 0.2780218040702431, 0.2780218040702431, 0.2775050436640973, 0.2775050436640973, 0.2769882832579515, 0.2759547624456599, 0.2759547624456599, 0.27097102285180574, 0.2600023622197419, 0.25049177629246516, 0.24885891174069452, 0.24831462355677097, 0.2383252610851157, 0.20835717367014972, 0.19836781119849442, 0.19836781119849442, 0.19836781119849442, 0.19752517010056947, 0.1966825290026445, 0.19499724680679456, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.19415460570886958, 0.16936027962838063, 0.10380681855475353, 0.07025168526755785, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.0701829753064249, 0.05763168932337208, 0.01997783137421362, 0.007426545391160802, 0.007426545391160802, 0.007426545391160802, 0.007426545391160802, 0.007426545391160802, 0.007426545391160802]"
10,"add(protected_div(protected_div(if_op(1, mult(x, 3), 1, protected_div(if_op(protected_div(protected_div(2, x), protected_div(3, 1)), sin(mult(1, add(mult(2, 1), protected_div(2, 1)))), add(2, 2), 3), 1)), 1), 1), protected_div(protected_div(2, x), 3))","(0.09403078669861115,)",40,10,"[6.766583474676369, 5.816939450631883, 5.569234615476286, 4.992895183054085, 4.416555750631883, 2.433316120031945, 2.357579453365278, 1.6487622311430556, 1.416430786698611, 1.470277564476389, 1.3704322866986112, 1.278435286698611, 1.186438286698611, 1.186438286698611, 1.186438286698611, 1.186438286698611, 1.278435286698611, 1.186438286698611, 1.186438286698611, 1.186438286698611, 1.1781049533652777, 0.9637901200319444, 0.7494752866986111, 0.5741459533652777, 0.36816445336527776, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11486412003194443, 0.11069745336527778, 0.10653078669861113, 0.10653078669861113, 0.10236412003194446, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115, 0.09403078669861115]"
100,"sub(protected_div(sin(1), x), protected_div(add(squared(1), protected_div(if_op(mult(x, 3), 2, squared(1), protected_div(sin(if_op(mult(x, 3), sub(3, add(1, add(squared(x), sin(sub(sin(1), squared(x)))))), squared(1), protected_div(1, x))), x)), protected_div(if_op(mult(x, 3), sub(3, add(1, add(squared(x), sin(sub(sin(1), squared(x)))))), squared(sin(2)), protected_div(sin(2), x)), 1))), protected_div(sub(sub(3, add(1, add(squared(x), x))), 3), add(squared(x), protected_div(if_op(sin(1), 1, squared(1), protected_div(x, protected_div(if_op(if_op(squared(add(sin(3), if_op(3, protected_div(add(x, x), sub(if_op(1, 2, sub(mult(3, add(2, 3)), mult(mult(2, x), squared(x))), x), 1)), x, 1))), 3, if_op(if_op(mult(x, x), mult(x, x), sub(sub(sub(3, add(1, add(squared(x), sin(protected_div(add(x, x), sub(if_op(1, 2, 1, x), 1)))))), 3), 1), squared(1)), 3, 1, sin(2)), protected_div(1, x)), if_op(mult(x, x), squared(sin(2)), sub(1, 1), 1), squared(1), protected_div(3, x)), if_op(mult(x, x), mult(x, x), sub(sub(sub(3, add(1, add(squared(x), sin(protected_div(2, sub(protected_div(add(3, 1), add(if_op(sub(2, 2), if_op(x, x, 1, x), protected_div(x, 2), squared(x)), x)), 1)))))), 3), 1), squared(1))))), if_op(sin(2), squared(x), sub(3, 1), 1))))))","(0.06814149066524591,)",235,21,"[6.433193031994236, 5.546839244807702, 5.903628785561115, 5.59828164196785, 5.487463957621172, 5.487463957621172, 5.487463957621172, 5.441065189437692, 5.394666421254213, 5.159693608035579, 5.00457083809321, 5.000967012240033, 4.959971787405712, 4.168824935905203, 3.4197442224088803, 3.0997840709678997, 2.9460589142350457, 2.88165145244965, 2.878685280443309, 2.8534328527299397, 2.826614556857566, 2.7910484594810057, 2.6271766933030563, 2.192528883667347, 2.0277126145079865, 2.0277126145079865, 1.9962226328551473, 1.9394301975817654, 1.9105425870548711, 1.8580688793662827, 1.8055951716776946, 1.7303548582596044, 1.6794384409993537, 1.604733361734397, 1.5667572010981392, 1.5539783702453884, 1.5220033393862984, 1.5220033393862984, 1.4148647281200812, 1.2114543484732048, 0.9635127965498113, 0.8514358445039925, 0.8006949722721697, 0.7944797558832419, 0.7081715019377619, 0.7028599944588559, 0.668267078147243, 0.434599663330913, 0.3753689189336976, 0.3728137117302225, 0.36269505234699284, 0.36269505234699284, 0.35556600002335426, 0.341307895376077, 0.341307895376077, 0.3237682786105029, 0.31720525437390934, 0.3089410333442964, 0.30383744296523835, 0.302136246172219, 0.302136246172219, 0.302136246172219, 0.302136246172219, 0.30131553936166516, 0.29967412574055746, 0.29803271211944976, 0.2914157370231764, 0.286910085222683, 0.27550445311698263, 0.27550445311698263, 0.27550445311698263, 0.2423209445149955, 0.18341709406696816, 0.12511784319281405, 0.12303318732341395, 0.12303318732341395, 0.12303318732341395, 0.11754088246274311, 0.10655627274140142, 0.09557166302005973, 0.09557166302005973, 0.09557166302005973, 0.09557166302005973, 0.09557166302005973, 0.09421535094843989, 0.09414207759770676, 0.0914294534544671, 0.08879010266196057, 0.08879010266196057, 0.08879010266196057, 0.08807926462021533, 0.08665758853672484, 0.08523591245323435, 0.08523591245323435, 0.08523591245323435, 0.08317609150376376, 0.07957836894934593, 0.0711727678162684, 0.06866340788985974, 0.06855902444493697]"
