,best_subset,compute_time,accuracy
1,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",27.751675844192505,0.7115976331360947
10,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",28.607740879058838,0.7115976331360947
100,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",29.06465792655945,0.7115976331360947
1000,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",29.06221890449524,0.7115976331360947
10000,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",29.054532051086426,0.7115976331360947
