,max_value,max_weight,mean_over_gen
1,9767,9768,"[9718.6, 9721.2, 9722.8, 9725.8, 9727.0, 9727.0, 9728.2, 9728.2, 9729.4, 9731.8, 9733.0, 9733.0, 9733.0, 9733.0, 9733.0, 9733.0, 9733.2, 9733.2, 9733.2, 9733.8, 9734.0, 9734.0, 9736.4, 9738.8, 9745.0, 9745.0, 9745.2, 9745.4, 9746.0, 9746.2, 9746.4, 9747.8, 9748.4, 9749.8, 9750.0, 9750.0, 9750.0, 9750.0, 9750.0, 9750.0, 9750.0, 9750.0, 9750.0, 9750.2, 9750.6, 9751.2, 9751.2, 9751.2, 9751.6, 9752.0, 9752.2, 9752.4, 9752.8, 9753.0, 9753.0, 9753.0, 9753.0, 9753.0, 9753.0, 9753.0, 9753.0, 9753.0, 9753.0, 9753.0, 9753.4, 9753.8, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9755.0, 9757.4, 9762.2, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
10,9762,9773,"[9720.8, 9722.8, 9725.6, 9726.4, 9733.0, 9734.4, 9735.0, 9735.0, 9735.0, 9735.0, 9739.4, 9745.2, 9757.0, 9757.0, 9757.0, 9757.0, 9758.0, 9759.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0]"
100,9747,9757,"[9713.6, 9720.0, 9727.4, 9728.0, 9729.2, 9734.0, 9734.0, 9734.0, 9734.0, 9734.0, 9734.4, 9734.4, 9736.6, 9738.8, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.0, 9745.4, 9745.4, 9745.8, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0, 9747.0]"
1000,9767,9768,"[9716.8, 9720.4, 9721.2, 9735.2, 9743.0, 9748.2, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9757.0, 9759.0, 9759.0, 9759.0, 9765.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
10000,9763,9764,"[9721.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.4, 9758.4, 9758.4, 9758.4, 9759.2, 9760.0, 9760.0, 9760.0, 9760.2, 9760.4, 9761.0, 9761.0, 9761.0, 9761.0, 9761.4, 9761.8, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0]"
