,max_value,max_weight,mean_over_gen
1,1286,985,"[-17333.6, -16650.8, -14351.8, -12889.4, -12130.4, -11271.4, -10493.6, -9397.4, -8322.8, -7885.2, -7580.4, -7370.6, -7041.0, -6808.4, -6472.4, -6259.2, -5924.4, -5755.4, -5418.4, -5145.4, -4439.2, -3856.2, -3510.4, -3396.2, -3040.6, -2903.0, -2534.2, -2306.4, -2126.0, -1854.2, -1762.0, -1431.0, -1060.8, -949.2, -834.2, -705.2, -620.8, -524.6, -406.2, -223.6, -95.4, 306.0, 866.4, 882.8, 945.2, 948.8, 969.2, 975.2, 998.0, 998.0, 1021.0, 1032.6, 1093.8, 1113.0, 1113.0, 1113.0, 1117.4, 1117.4, 1121.8, 1130.6, 1138.6, 1149.4, 1153.0, 1164.6, 1214.4, 1271.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0, 1286.0]"
10,1046,971,"[-15946.6, -14623.4, -13414.2, -12036.2, -11134.8, -10502.8, -9614.8, -9061.8, -8325.6, -7354.8, -6825.4, -6304.6, -5662.6, -4954.2, -4637.2, -4469.0, -3972.6, -3799.4, -3773.6, -3395.6, -2941.0, -2934.0, -2449.4, -2051.8, -2030.0, -2013.0, -1968.4, -1804.0, -1115.8, -986.6, -959.0, -907.2, -810.2, -780.8, -691.8, -549.8, -336.0, -267.8, -185.6, -13.4, 94.8, 258.6, 401.2, 826.6, 882.6, 921.8, 937.0, 937.0, 937.0, 937.0, 937.0, 958.8, 980.6, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0, 1046.0]"
100,994,991,"[-19678.2, -17821.2, -16068.6, -14746.0, -13687.4, -12481.4, -11985.2, -10899.4, -9851.4, -9125.6, -8465.2, -7533.8, -7020.8, -6714.4, -6214.8, -5448.4, -4910.6, -4555.8, -4206.0, -3990.8, -3788.0, -3503.8, -3170.4, -2901.2, -2603.4, -2282.2, -2142.4, -1717.2, -1585.0, -1247.8, -1035.4, -973.2, -668.2, -615.8, -467.4, -392.0, -375.4, -220.2, -200.0, -134.0, 185.4, 648.0, 947.8, 993.0, 993.0, 993.0, 993.0, 993.0, 993.0, 993.0, 993.2, 993.8, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0, 994.0]"
1000,1289,995,"[-19749.8, -18452.0, -17588.8, -15909.2, -14918.6, -13877.8, -12881.4, -11959.4, -10818.6, -9847.2, -9085.4, -8393.8, -8076.0, -7204.0, -6556.8, -5847.6, -5523.2, -5050.4, -4700.0, -4237.2, -3996.2, -3597.4, -3358.6, -3135.4, -2984.4, -2798.2, -2656.4, -2550.6, -2518.6, -2406.2, -2180.8, -1904.0, -1701.4, -1504.2, -1033.0, -893.0, -831.2, -570.2, -406.2, -251.2, 46.4, 1089.4, 1126.6, 1152.4, 1174.0, 1174.0, 1174.0, 1197.0, 1220.0, 1243.2, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0, 1289.0]"
10000,1001,894,"[-18471.0, -17135.8, -15304.8, -14112.0, -13362.2, -12182.2, -11707.4, -10769.4, -10272.6, -9491.0, -8963.2, -8396.4, -7938.8, -7436.4, -6501.2, -6140.8, -5863.8, -5532.8, -5138.8, -4846.2, -4739.4, -4580.0, -4231.4, -3927.4, -3693.6, -3321.4, -3102.0, -2813.0, -2569.2, -2029.4, -1818.0, -1506.2, -1270.6, -1173.4, -1121.4, -1102.0, -1037.8, -978.2, -842.0, -700.2, -618.2, -572.6, -457.8, -123.6, 454.2, 853.0, 886.6, 896.0, 905.0, 932.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 941.0, 953.0, 989.0, 1001.0, 1001.0]"
