,max_value,max_weight,mean_over_gen
1,1207,987,"[-190353.0, -181420.8, -151173.8, -144622.6, -126866.0, -114161.2, -105468.6, -99689.8, -85773.6, -79867.0, -76460.2, -67353.0, -60928.4, -59716.0, -53217.4, -50823.4, -48083.2, -45399.8, -41194.0, -36440.6, -34643.0, -32226.2, -30593.8, -28006.2, -26925.0, -24346.4, -22527.0, -19966.2, -17623.0, -15905.4, -13512.2, -10069.8, -9015.2, -7574.0, -4862.2, -2983.4, -2336.2, -1323.0, -320.6, 707.6, 746.0, 746.0, 759.8, 839.2, 880.6, 940.0, 940.0, 940.2, 940.6, 941.0, 941.0, 955.8, 955.8, 1000.2, 1015.0, 1015.0, 1015.0, 1015.0, 1015.0, 1015.0, 1015.0, 1015.0, 1015.0, 1015.0, 1028.8, 1042.6, 1070.2, 1087.0, 1093.0, 1099.0, 1099.2, 1099.6, 1102.6, 1102.6, 1106.6, 1110.8, 1113.4, 1126.4, 1154.8, 1181.2, 1199.6, 1202.8, 1206.2, 1206.6, 1206.8, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0, 1207.0]"
10,1229,995,"[-197010.4, -187095.4, -175550.2, -163127.8, -148797.8, -139613.6, -133126.0, -121648.8, -108998.0, -99564.2, -94786.6, -89033.2, -84970.0, -78657.0, -74240.2, -67024.2, -58542.4, -52764.4, -51567.0, -47366.6, -45220.2, -41695.4, -38707.0, -35729.6, -31176.6, -27640.0, -25777.6, -24108.6, -22959.8, -19827.2, -16596.2, -15239.2, -13355.0, -12817.2, -10426.4, -8809.0, -7184.8, -5810.0, -5250.0, -3673.8, -2316.2, -887.0, 565.4, 950.6, 1118.4, 1133.0, 1134.0, 1135.0, 1137.0, 1150.8, 1169.2, 1194.8, 1202.0, 1202.0, 1202.0, 1202.0, 1202.0, 1204.6, 1212.4, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1215.0, 1217.8, 1220.6, 1220.6, 1220.6, 1229.0, 1223.4, 1229.0, 1229.0, 1229.0, 1229.0]"
100,1332,992,"[-167611.4, -151599.2, -137782.4, -128635.2, -117850.6, -113092.0, -106100.6, -95791.8, -90592.2, -87170.6, -81085.4, -73772.6, -67686.0, -65246.8, -57918.8, -51652.2, -47892.4, -42326.8, -39948.0, -36784.8, -33332.6, -27452.8, -20803.8, -17840.8, -15428.8, -12685.4, -11571.0, -9980.0, -8259.0, -7296.8, -6858.8, -5138.4, -4444.2, -3780.0, -2463.4, -776.4, 616.2, 964.6, 1070.2, 1135.0, 1135.0, 1131.2, 1141.0, 1141.0, 1141.0, 1141.0, 1169.4, 1211.6, 1254.0, 1254.0, 1254.0, 1254.0, 1254.0, 1254.0, 1254.0, 1254.0, 1255.2, 1256.4, 1260.0, 1260.0, 1260.0, 1260.0, 1260.0, 1266.6, 1293.0, 1293.0, 1293.0, 1300.2, 1314.6, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.0, 1329.6, 1330.8, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0, 1332.0]"
1000,1101,993,"[-187286.2, -179496.4, -173336.6, -163376.0, -150259.0, -136563.6, -126924.2, -117871.8, -111219.8, -105909.4, -96835.0, -91042.0, -87399.0, -78402.2, -72587.0, -64645.2, -57478.4, -51295.0, -48109.6, -43648.0, -38118.4, -34859.8, -31579.4, -26972.2, -21470.8, -17264.2, -13007.4, -8868.4, -4097.8, -3379.4, -2196.2, -1396.4, 408.0, 852.0, 890.4, 953.2, 997.0, 997.8, 1007.4, 1064.0, 1086.0, 1086.0, 1086.0, 1086.0, 1089.0, 1089.0, 1092.0, 1098.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0, 1101.0]"
10000,1307,989,"[-198146.8, -180788.4, -162673.0, -152953.0, -145275.6, -134599.2, -126831.4, -117163.8, -108885.8, -101153.6, -88237.0, -81159.0, -71208.4, -65746.6, -60193.0, -53280.6, -47443.4, -43407.2, -37805.0, -35335.6, -30486.0, -27824.6, -24341.0, -20116.2, -17754.2, -15634.2, -13669.4, -10945.0, -7061.6, -4877.6, -4311.8, -3290.4, -3093.6, -1644.4, -1234.6, 4.6, 983.2, 1079.0, 1102.0, 1172.6, 1172.6, 1176.2, 1187.0, 1198.6, 1198.6, 1248.6, 1263.0, 1263.0, 1263.0, 1263.0, 1263.4, 1266.4, 1278.0, 1278.0, 1278.0, 1278.0, 1283.8, 1283.8, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0, 1307.0]"
