,max_value,max_weight,mean_over_gen
1,9767,9768,"[9721.2, 9719.4, 9730.2, 9734.4, 9737.0, 9738.6, 9743.4, 9750.0, 9760.0, 9760.0, 9760.0, 9760.0, 9760.0, 9760.2, 9760.8, 9761.0, 9762.0, 9763.0, 9763.0, 9764.0, 9766.2, 9766.4, 9766.6, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
10,9765,9766,"[9720.4, 9730.0, 9738.4, 9741.8, 9743.0, 9743.4, 9743.8, 9748.4, 9751.8, 9753.8, 9754.0, 9754.0, 9754.8, 9756.4, 9758.2, 9758.2, 9758.4, 9759.4, 9761.0, 9761.8, 9763.4, 9763.4, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0]"
100,9767,9768,"[9719.8, 9721.8, 9727.8, 9731.0, 9735.0, 9736.0, 9738.2, 9738.4, 9739.8, 9744.2, 9744.6, 9744.6, 9755.0, 9757.4, 9758.6, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.8, 9763.0, 9763.0, 9763.8, 9766.2, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
1000,9762,9763,"[9719.0, 9721.4, 9723.0, 9725.6, 9730.2, 9734.0, 9737.8, 9742.0, 9747.0, 9747.4, 9748.4, 9749.2, 9752.0, 9752.0, 9752.0, 9752.0, 9752.0, 9752.0, 9752.4, 9754.4, 9757.2, 9758.0, 9758.0, 9758.0, 9758.4, 9759.8, 9760.6, 9760.8, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.2, 9761.6, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0]"
10000,9767,9768,"[9710.4, 9716.8, 9719.0, 9720.6, 9724.6, 9729.4, 9731.0, 9731.0, 9733.2, 9739.2, 9740.0, 9740.4, 9743.2, 9746.2, 9746.4, 9752.0, 9752.4, 9753.0, 9753.0, 9755.2, 9758.6, 9760.0, 9761.4, 9761.6, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.2, 9762.6, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.8, 9763.8, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
