,max_value,max_weight,mean_over_gen
1,9767,9768,"[9713.4, 9718.8, 9725.6, 9731.0, 9736.2, 9741.8, 9741.2, 9745.4, 9739.8, 9736.0, 9734.0, 9735.8, 9747.6, 9745.4, 9748.0, 9749.8, 9747.4, 9746.0, 9750.4, 9752.4, 9753.2, 9753.2, 9750.4, 9753.6, 9752.4, 9753.8, 9754.0, 9754.4, 9752.4, 9754.2, 9757.4, 9760.6, 9761.0, 9756.2, 9758.6, 9756.6, 9752.0, 9752.8, 9758.6, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9758.2, 9756.8, 9756.0, 9758.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9759.4, 9761.0, 9761.0, 9761.0, 9762.2, 9762.2, 9763.4, 9764.6, 9765.8, 9767.0, 9767.0, 9764.4, 9767.0, 9764.2, 9767.0, 9766.2, 9767.0, 9767.0, 9767.0, 9767.0, 9766.6, 9766.4, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9765.8, 9767.0, 9765.6, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9766.6, 9766.4, 9766.4, 9767.0, 9767.0, 9766.2, 9765.6, 9767.0, 9766.8, 9767.0]"
10,9767,9768,"[9710.6, 9723.0, 9736.4, 9732.4, 9739.8, 9734.6, 9736.6, 9742.0, 9742.0, 9743.2, 9743.2, 9742.4, 9746.2, 9746.2, 9748.6, 9748.8, 9749.0, 9744.0, 9751.2, 9751.4, 9751.6, 9752.0, 9749.2, 9746.6, 9751.8, 9747.2, 9751.4, 9751.6, 9751.0, 9755.2, 9755.2, 9754.0, 9754.8, 9756.4, 9756.6, 9756.6, 9755.8, 9761.6, 9753.0, 9764.0, 9765.0, 9765.4, 9767.0, 9762.6, 9759.0, 9767.0, 9758.8, 9762.6, 9762.4, 9767.0, 9767.0, 9767.0, 9767.0, 9766.2, 9767.0, 9767.0, 9767.0, 9764.6, 9763.4, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9764.8, 9764.4, 9765.8, 9765.8, 9766.6, 9766.6, 9767.0, 9767.0, 9767.0, 9766.2, 9767.0, 9767.0, 9767.0, 9767.0, 9766.6, 9762.6, 9766.6, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9766.8, 9767.0, 9767.0, 9767.0, 9766.2]"
100,9767,9768,"[9716.8, 9725.4, 9726.0, 9730.0, 9731.8, 9732.6, 9733.4, 9738.6, 9743.4, 9746.6, 9744.4, 9751.4, 9754.4, 9754.0, 9751.0, 9755.8, 9747.6, 9752.4, 9754.8, 9758.8, 9758.8, 9758.4, 9759.6, 9760.4, 9754.4, 9753.4, 9757.4, 9760.8, 9761.2, 9760.0, 9762.0, 9762.0, 9761.6, 9755.2, 9760.0, 9757.8, 9756.2, 9762.0, 9760.0, 9762.0, 9757.2, 9762.0, 9762.6, 9762.0, 9763.6, 9764.6, 9766.2, 9765.6, 9765.6, 9765.0, 9762.6, 9764.0, 9761.0, 9767.0, 9763.6, 9766.2, 9765.8, 9764.4, 9767.0, 9764.8, 9767.0, 9763.4, 9767.0, 9767.0, 9767.0, 9765.4, 9766.0, 9767.0, 9765.2, 9767.0, 9767.0, 9765.4, 9767.0, 9767.0, 9767.0, 9761.0, 9767.0, 9765.8, 9767.0, 9767.0, 9764.2, 9765.4, 9765.2, 9758.0, 9763.8, 9765.2, 9766.2, 9767.0, 9767.0, 9767.0, 9765.8, 9765.8, 9767.0, 9766.0, 9764.2, 9767.0, 9767.0, 9767.0, 9766.2, 9762.4]"
1000,9763,9764,"[9717.2, 9730.8, 9736.6, 9742.8, 9748.0, 9755.4, 9755.4, 9754.0, 9755.4, 9755.4, 9754.0, 9755.4, 9755.8, 9748.8, 9751.0, 9755.4, 9749.0, 9750.6, 9755.8, 9757.0, 9757.0, 9756.8, 9757.0, 9757.8, 9755.8, 9757.0, 9759.4, 9760.2, 9761.0, 9759.8, 9761.0, 9759.4, 9760.2, 9760.2, 9760.2, 9761.0, 9761.4, 9761.2, 9761.4, 9761.4, 9757.6, 9759.0, 9761.4, 9761.8, 9761.6, 9761.6, 9762.2, 9761.0, 9760.6, 9761.8, 9758.0, 9762.2, 9763.0, 9763.0, 9761.8, 9761.4, 9756.0, 9762.2, 9763.0, 9759.4, 9762.8, 9762.8, 9763.0, 9761.6, 9762.2, 9763.0, 9760.8, 9760.0, 9763.0, 9762.2, 9763.0, 9763.0, 9763.0, 9760.6, 9759.8, 9762.4, 9762.4, 9761.2, 9761.2, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9761.0, 9762.2, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9761.2, 9763.0, 9763.0, 9763.0, 9763.0]"
10000,9767,9768,"[9658.8, 9726.0, 9727.0, 9728.2, 9726.8, 9727.6, 9731.4, 9734.2, 9738.0, 9738.8, 9736.4, 9739.8, 9749.0, 9751.0, 9750.8, 9750.4, 9746.4, 9752.4, 9749.4, 9751.8, 9756.6, 9751.4, 9754.4, 9758.4, 9758.4, 9758.8, 9755.2, 9759.4, 9756.6, 9760.0, 9760.0, 9757.8, 9759.2, 9759.4, 9760.0, 9747.8, 9759.2, 9758.0, 9754.8, 9757.6, 9761.6, 9761.6, 9762.8, 9760.2, 9759.4, 9760.2, 9761.4, 9756.6, 9760.8, 9764.2, 9756.8, 9758.8, 9763.0, 9758.0, 9760.6, 9764.2, 9764.6, 9764.6, 9765.0, 9765.0, 9764.2, 9762.2, 9760.8, 9762.6, 9764.6, 9760.8, 9765.0, 9765.0, 9765.0, 9759.6, 9762.4, 9765.0, 9760.6, 9765.0, 9761.4, 9756.0, 9765.0, 9765.0, 9765.0, 9765.0, 9762.8, 9763.8, 9765.0, 9764.0, 9765.0, 9765.0, 9765.0, 9765.0, 9762.6, 9765.0, 9761.6, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.4, 9765.8, 9765.8, 9766.2]"
