,max_value,max_weight,mean_over_gen
1,1072,991,"[-99695.8, -91796.0, -84316.0, -78782.8, -68742.4, -60156.8, -53444.6, -48804.4, -45017.2, -38430.6, -34440.6, -29990.8, -25355.0, -18559.0, -13794.8, -12175.0, -9254.0, -4648.0, -2968.0, -2081.4, -682.2, 476.8, 876.6, 1037.0, 1070.2, 1071.0, 1071.2, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0, 1072.0]"
10,1106,991,"[-97568.0, -90759.2, -80553.4, -72676.6, -66535.2, -60559.2, -53906.8, -51442.8, -47006.8, -42664.2, -39363.8, -37174.4, -31575.8, -25577.2, -22001.2, -20341.2, -17064.6, -14537.2, -8367.6, -6874.2, -5007.4, -4834.0, -3582.6, 253.8, 587.0, 659.0, 1021.8, 1104.8, 1105.2, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0, 1106.0]"
100,1034,995,"[-109721.6, -101843.6, -94279.6, -89276.6, -79202.6, -73709.8, -69543.6, -63166.0, -57302.6, -53851.4, -47619.0, -42187.6, -38535.2, -36013.4, -32602.6, -28456.4, -25026.4, -21419.2, -17005.0, -16155.8, -15127.6, -11641.2, -7609.6, -5555.0, -4977.6, -2487.4, -720.4, 256.2, 989.0, 998.2, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0, 1034.0]"
1000,1278,995,"[-97694.0, -90432.0, -85283.8, -76335.6, -71472.6, -64656.6, -57751.4, -51328.4, -45674.2, -39002.6, -34320.2, -28910.4, -27968.8, -22813.8, -20344.0, -15938.6, -13517.0, -10907.8, -8030.6, -2142.4, -1431.0, -1018.6, -193.2, 291.4, 973.0, 1171.6, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0, 1278.0]"
10000,1334,979,"[-103332.2, -96097.8, -87896.6, -79791.0, -71916.6, -66240.0, -60025.4, -52784.2, -46122.6, -39950.4, -37010.6, -30837.0, -24285.0, -21559.8, -17071.4, -14062.8, -10708.6, -7509.2, -4996.8, -3478.6, -1471.0, 1184.2, 1231.0, 1290.0, 1301.8, 1333.0, 1333.0, 1333.2, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0, 1334.0]"
