,max_value,max_weight,mean_over_gen
1,9767,9768,"[9727.6, 9735.6, 9735.8, 9736.2, 9746.6, 9749.8, 9750.0, 9751.2, 9754.4, 9758.4, 9759.2, 9760.0, 9760.4, 9760.8, 9761.6, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.8, 9762.8, 9763.6, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.0, 9766.2, 9766.2, 9766.6, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
10,9767,9768,"[9720.2, 9727.4, 9733.0, 9738.6, 9744.2, 9745.4, 9747.0, 9748.6, 9749.8, 9750.4, 9750.4, 9751.8, 9752.0, 9753.0, 9753.0, 9753.2, 9753.4, 9753.8, 9754.4, 9754.6, 9754.8, 9756.2, 9758.8, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.4, 9762.2, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.0, 9763.8, 9763.8, 9765.4, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
100,9767,9768,"[9697.6, 9723.0, 9724.6, 9729.0, 9733.0, 9736.6, 9737.2, 9742.2, 9743.4, 9744.2, 9744.4, 9745.4, 9746.2, 9749.4, 9751.8, 9754.6, 9755.4, 9756.6, 9759.0, 9761.0, 9761.0, 9761.0, 9761.0, 9762.2, 9762.2, 9764.6, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
1000,9767,9768,"[9724.6, 9737.4, 9739.0, 9742.4, 9745.8, 9750.6, 9754.8, 9756.4, 9758.0, 9758.2, 9758.6, 9759.0, 9759.0, 9759.0, 9759.0, 9759.0, 9759.2, 9760.0, 9760.0, 9760.0, 9760.0, 9760.6, 9763.6, 9765.4, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
10000,9767,9768,"[9728.6, 9745.8, 9754.2, 9754.6, 9758.0, 9758.0, 9758.0, 9758.0, 9758.0, 9758.8, 9760.0, 9761.0, 9761.0, 9761.0, 9761.8, 9761.8, 9762.6, 9764.2, 9765.0, 9765.0, 9765.0, 9765.0, 9765.0, 9765.4, 9765.8, 9765.8, 9766.6, 9767.0, 9766.6, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0, 9767.0]"
