,max_value,max_weight,mean_over_gen
1,1486,981,"[-151791.2, -133045.0, -124751.8, -123483.6, -109207.6, -96687.4, -87227.0, -80560.4, -74162.6, -69566.4, -65395.6, -62025.2, -58533.2, -53361.0, -47235.6, -42382.8, -38785.2, -32806.0, -29555.2, -27537.0, -25531.6, -20905.4, -18011.8, -15524.6, -14497.4, -11415.8, -8970.2, -6631.0, -6442.0, -5762.8, -5686.0, -5159.8, -3183.2, -2298.6, -1304.0, -926.4, -133.4, 1121.0, 1121.0, 1129.0, 1145.0, 1161.0, 1161.0, 1162.4, 1165.0, 1172.8, 1172.8, 1178.6, 1190.2, 1192.2, 1197.2, 1200.2, 1204.4, 1221.0, 1255.8, 1297.2, 1312.4, 1339.4, 1340.8, 1341.0, 1348.6, 1356.2, 1361.2, 1366.0, 1380.8, 1380.8, 1424.6, 1441.0, 1441.0, 1450.2, 1477.2, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0, 1486.0]"
10,1432,993,"[-146606.6, -136304.6, -115255.6, -98966.0, -88999.6, -81314.0, -69390.6, -60219.8, -49309.8, -42551.8, -36201.6, -33955.2, -31290.0, -26593.2, -23816.0, -18310.6, -13282.0, -12337.0, -10268.6, -7846.2, -6626.6, -5488.6, -3666.8, -2268.4, -1307.6, 33.4, 875.6, 1102.4, 1242.6, 1282.4, 1301.6, 1318.4, 1336.6, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1377.6, 1418.2, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0, 1432.0]"
100,1352,994,"[-153173.6, -132943.2, -124565.2, -105260.4, -96037.2, -90711.6, -83026.2, -73849.0, -63318.0, -57043.2, -50213.4, -48232.0, -42943.8, -37760.0, -34704.4, -33082.8, -29188.6, -23505.0, -20996.0, -18178.0, -14610.4, -11690.8, -8980.0, -7423.8, -3288.0, -2636.8, -1087.4, 321.2, 1006.0, 1014.0, 1061.6, 1124.0, 1133.0, 1133.0, 1133.0, 1133.4, 1134.0, 1138.0, 1185.4, 1232.8, 1312.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0, 1352.0]"
1000,1446,989,"[-167008.2, -153386.8, -144927.2, -123272.4, -111189.0, -96907.6, -88472.6, -84296.2, -74825.8, -66028.0, -56232.6, -52932.6, -44283.0, -42024.4, -38830.8, -32933.4, -25575.2, -22314.0, -18478.4, -15268.4, -12567.8, -11035.8, -8711.0, -7724.6, -6142.2, -5706.2, -4751.8, -3747.0, -2733.0, -768.8, 561.2, 687.4, 714.4, 724.2, 726.0, 739.0, 771.2, 796.4, 853.8, 855.6, 861.0, 921.8, 943.4, 976.2, 1009.2, 1009.2, 1009.6, 1020.8, 1020.8, 1031.6, 1064.0, 1064.0, 1064.0, 1064.0, 1075.8, 1122.8, 1145.4, 1145.4, 1180.6, 1184.4, 1189.8, 1228.0, 1239.0, 1327.8, 1362.6, 1388.6, 1399.0, 1399.0, 1399.0, 1399.2, 1399.4, 1400.2, 1400.6, 1401.0, 1410.2, 1428.4, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0, 1446.0]"
10000,1364,984,"[-163297.6, -155341.2, -148158.2, -133399.2, -120170.6, -114543.6, -103128.4, -94768.8, -92091.6, -81048.0, -72928.2, -67897.4, -58833.0, -52120.0, -46752.6, -40498.4, -35003.0, -31611.2, -23851.2, -22642.8, -20969.2, -18351.6, -16612.8, -12612.6, -11124.6, -8396.0, -6241.2, -5301.4, -3820.8, -2620.6, -1395.2, -880.4, -123.0, 321.0, 1047.8, 1129.0, 1173.0, 1173.0, 1173.0, 1174.8, 1180.8, 1205.4, 1221.6, 1263.0, 1264.2, 1266.6, 1267.8, 1269.0, 1269.0, 1269.0, 1269.0, 1270.2, 1271.6, 1271.6, 1274.0, 1274.0, 1274.0, 1274.0, 1274.0, 1274.0, 1274.0, 1274.0, 1291.8, 1309.6, 1363.0, 1363.0, 1363.2, 1363.4, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0, 1364.0]"
