,max_value,max_weight,mean_over_gen
1,9767,9768,"[9719.8, 9721.6, 9711.4, 9649.0, 9721.8, 9721.0, 9721.4, 9726.2, 9724.0, 9718.6, 9717.2, 9721.0, 9723.2, 9724.4, 9726.4, 9730.4, 9732.4, 9715.6, 9729.6, 9730.8, 9726.0, 9724.6, 9730.0, 9726.4, 9725.6, 9726.8, 9728.8, 9699.8, 9720.8, 9712.8, 9724.2, 9726.8, 9727.6, 9732.0, 9727.6, 9728.4, 9729.0, 9729.8, 9730.4, 9732.4, 9731.6, 9735.0, 9734.0, 9735.0, 9736.8, 9744.2, 9747.8, 9747.2, 9749.4, 9750.4, 9750.2, 9751.8, 9756.0, 9757.8, 9755.6, 9756.8, 9753.8, 9753.0, 9756.4, 9758.0, 9758.0, 9758.0, 9758.0, 9753.8, 9757.4, 9760.4, 9761.0, 9761.8, 9761.8, 9761.0, 9762.2, 9762.2, 9762.2, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9761.0, 9762.2, 9763.4, 9763.4, 9763.4, 9766.2]"
10,9767,9768,"[9721.0, 9711.0, 9714.2, 9710.4, 9649.2, 9719.4, 9726.2, 9726.4, 9724.0, 9727.4, 9677.4, 9705.2, 9740.6, 9740.6, 9745.8, 9745.8, 9748.6, 9748.0, 9750.8, 9751.8, 9745.8, 9749.6, 9752.8, 9748.0, 9752.4, 9749.0, 9751.4, 9754.6, 9751.6, 9753.0, 9753.0, 9753.8, 9752.4, 9752.0, 9752.0, 9752.0, 9752.4, 9753.2, 9753.2, 9753.2, 9752.4, 9753.2, 9753.2, 9753.6, 9754.6, 9756.0, 9757.0, 9755.6, 9754.8, 9752.8, 9754.0, 9754.4, 9754.6, 9755.2, 9755.4, 9757.8, 9759.0, 9759.8, 9760.2, 9761.0, 9761.0, 9761.0, 9761.0, 9759.8, 9760.6, 9758.6, 9760.2, 9759.8, 9759.2, 9757.8, 9759.4, 9758.2, 9759.2, 9759.8, 9760.2, 9759.2, 9756.6, 9757.4, 9759.0, 9756.4, 9758.4, 9758.2, 9760.8, 9760.4, 9762.2, 9763.4, 9762.2, 9762.6, 9763.0, 9763.0, 9763.0, 9763.0, 9763.8, 9764.6, 9764.6, 9766.2, 9767.0, 9767.0, 9767.0, 9767.0]"
100,9767,9768,"[9643.0, 9716.8, 9706.6, 9665.4, 9716.4, 9716.4, 9722.2, 9718.0, 9721.6, 9719.6, 9722.8, 9726.2, 9732.4, 9737.2, 9739.6, 9747.2, 9748.8, 9751.2, 9753.6, 9752.0, 9754.8, 9754.0, 9755.6, 9754.0, 9752.4, 9755.6, 9753.0, 9757.2, 9760.4, 9760.0, 9758.8, 9756.8, 9757.6, 9758.4, 9756.6, 9751.8, 9749.4, 9751.8, 9760.8, 9760.0, 9760.0, 9760.0, 9761.0, 9761.8, 9763.6, 9763.0, 9761.6, 9761.6, 9762.4, 9760.8, 9761.2, 9760.8, 9760.8, 9760.4, 9761.2, 9760.4, 9761.6, 9762.0, 9761.2, 9760.8, 9761.6, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0, 9762.0]"
1000,9762,9763,"[9408.2, 9587.8, 9627.8, 9533.6, 9726.4, 9712.0, 9649.2, 9703.4, 9701.6, 9719.2, 9713.4, 9727.2, 9725.8, 9739.8, 9740.2, 9737.4, 9729.6, 9733.8, 9743.4, 9746.0, 9746.2, 9746.2, 9748.2, 9746.0, 9748.0, 9744.2, 9749.6, 9749.0, 9750.0, 9749.8, 9751.8, 9751.8, 9750.8, 9752.4, 9746.6, 9746.4, 9754.6, 9757.6, 9752.4, 9753.2, 9750.2, 9743.6, 9745.4, 9742.8, 9740.2, 9738.0, 9738.6, 9735.6, 9744.2, 9737.2, 9745.2, 9743.8, 9750.2, 9748.4, 9736.4, 9739.2, 9736.8, 9737.2, 9737.6, 9737.6, 9738.0, 9737.6, 9741.2, 9741.8, 9738.2, 9736.0, 9737.0, 9737.4, 9737.0, 9737.0, 9737.6, 9738.0, 9737.2, 9738.2, 9738.6, 9738.6, 9738.8, 9738.8, 9739.2, 9739.2, 9739.8, 9740.0, 9739.8, 9740.2, 9740.6, 9742.8, 9741.0, 9744.6, 9754.2, 9754.2, 9744.0, 9747.0, 9744.2, 9748.8, 9746.2, 9747.8, 9744.4, 9744.4, 9746.8, 9750.0]"
10000,9767,9768,"[9483.6, 9501.8, 9720.2, 9702.8, 9711.6, 9703.2, 9708.6, 9712.6, 9714.6, 9715.4, 9696.8, 9715.0, 9713.2, 9695.4, 9699.6, 9710.8, 9709.4, 9710.4, 9708.4, 9709.0, 9714.0, 9720.4, 9724.4, 9722.6, 9725.4, 9720.4, 9724.6, 9724.4, 9724.2, 9726.8, 9727.4, 9734.4, 9726.6, 9728.0, 9734.4, 9731.8, 9734.8, 9737.0, 9744.6, 9746.0, 9746.0, 9746.0, 9746.0, 9747.0, 9747.0, 9747.0, 9748.0, 9748.0, 9749.0, 9751.0, 9751.2, 9751.2, 9751.2, 9751.2, 9751.6, 9752.4, 9752.0, 9752.2, 9752.8, 9752.6, 9752.6, 9752.2, 9740.0, 9742.8, 9745.6, 9752.0, 9750.2, 9752.0, 9754.6, 9755.0, 9755.4, 9754.0, 9752.4, 9754.2, 9758.2, 9759.4, 9757.8, 9760.6, 9763.4, 9759.8, 9762.2, 9764.0, 9762.8, 9762.2, 9762.2, 9762.2, 9763.4, 9766.0, 9763.4, 9767.0, 9767.0, 9767.0, 9767.0, 9763.6, 9762.6, 9766.0, 9764.8, 9766.8, 9767.0, 9767.0]"
