,best_ind,fitness,tree_size,tree_depth,fitness_over_gen
1,"if_op(protected_div(if_op(sub(protected_div(add(sin(9), tan(x)), mult(2, 4)), cos(x)), 3, protected_div(tan(7), x), x), cos(x)), 7, sub(3, x), if_op(x, 8, protected_div(protected_div(add(6, protected_div(add(6, mult(cos(sin(3)), tan(if_op(8, 8, x, 1)))), protected_div(0, x))), protected_div(0, x)), x), 3))","(0.8486089714356737,)",55,10,"[5.7780526066702835, 5.642170719915097, 5.471566463445768, 5.206043765886971, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 5.167578514467753, 4.733495311725397, 3.865328906240684, 2.9971625007559717, 2.989514412607905, 2.989514412607905, 2.9818663244598387, 2.2484126594187193, 1.327777996388647, 1.2156843199654044, 1.004566497482651, 0.9715288626759124, 0.9568730096995124, 0.9485812075434783, 0.9485812075434783, 0.9485812075434783, 0.9485812075434783, 0.9292849995464909, 0.8901238876092796, 0.8503940797288317, 0.8492566878423586, 0.8492566878423586, 0.8492566878423586, 0.8492566878423586, 0.8491271445610217, 0.8489976012796847, 0.8488680579983476, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737, 0.8486089714356737]"
10,"add(cos(add(mult(cos(mult(tan(5), x)), mult(if_op(add(add(8, mult(8, mult(squared(mult(tan(5), x)), sub(x, sin(add(8, mult(1, tan(5)))))))), 0), squared(7), tan(if_op(0, if_op(add(add(8, mult(8, sub(cos(sub(5, 6)), squared(cos(1))))), 0), squared(7), tan(if_op(squared(5), 5, cos(x), tan(if_op(mult(mult(7, 6), add(x, if_op(add(add(8, mult(8, mult(squared(if_op(sin(9), if_op(3, 6, 0, 5), tan(6), mult(2, 8))), sub(x, sin(add(8, mult(1, tan(5)))))))), 0), squared(7), tan(if_op(squared(5), if_op(add(add(protected_div(if_op(6, 9, 8, x), sin(9)), mult(8, sub(cos(sub(tan(if_op(squared(squared(mult(squared(sub(x, cos(tan(1)))), cos(tan(5))))), 4, cos(tan(if_op(squared(mult(squared(tan(5)), tan(4))), sub(x, 7), cos(x), 5))), 5)), 6)), squared(cos(1))))), 0), squared(7), tan(if_op(squared(5), 5, cos(x), tan(if_op(squared(mult(squared(tan(5)), 3)), sub(mult(if_op(add(add(8, mult(8, x)), 0), squared(7), tan(if_op(squared(5), if_op(7, squared(7), tan(if_op(mult(tan(5), x), 5, cos(x), tan(if_op(squared(mult(8, 3)), sub(x, 7), cos(x), 5)))), sub(tan(3), squared(6))), 5, tan(if_op(squared(mult(squared(7), tan(4))), sub(x, 7), cos(x), 5)))), squared(sin(tan(1)))), x), 7), cos(x), 5)))), squared(if_op(tan(sin(x)), sin(sub(3, 7)), cos(protected_div(4, 1)), protected_div(sub(3, 0), squared(9))))), 7, tan(if_op(squared(mult(squared(7), tan(4))), sub(x, 7), cos(x), 5)))), squared(sin(tan(1)))))), sub(mult(if_op(add(add(8, mult(8, mult(squared(mult(tan(5), x)), sub(x, sin(add(8, mult(1, tan(5)))))))), 0), squared(7), tan(if_op(squared(5), if_op(add(add(8, mult(8, mult(squared(mult(tan(5), x)), sub(x, sin(add(add(8, mult(8, mult(squared(mult(sin(tan(5)), x)), x))), mult(1, tan(mult(8, mult(add(4, 0), sub(x, sin(tan(5))))))))))))), 0), add(if_op(if_op(2, 1, 3, x), sub(7, 9), mult(squared(7), tan(4)), add(2, x)), add(cos(9), squared(5))), tan(if_op(squared(5), 5, cos(x), tan(if_op(squared(mult(8, 3)), tan(1), cos(x), 5)))), squared(sin(tan(1)))), 7, tan(if_op(squared(mult(squared(7), tan(sub(x, 7)))), sub(x, 7), cos(x), 5)))), squared(sin(tan(1)))), x), 7), cos(x), 5)))), squared(cos(x))), 7, tan(if_op(squared(mult(squared(7), tan(4))), sub(x, 7), cos(x), 5)))), squared(sin(tan(1)))), x)), mult(4, x))), 3)","(3.8869687590766033,)",455,35,"[6.288884679325218, 6.280380545790269, 6.280380545790269, 6.280380545790269, 6.280380545790269, 6.188985694610659, 5.972250495499889, 5.822697722803152, 5.82128058862502, 5.465076163142704, 5.081488538487166, 5.0107991891168036, 5.0107991891168036, 4.97494298667786, 4.897467515551191, 4.883541802042575, 4.8352852458019635, 4.808677791574569, 4.802944178574785, 4.755005316869201, 4.741101413126427, 4.365690782207697, 4.231334780366785, 4.154932897695057, 4.09499521353955, 4.078460330629212, 4.078460330629212, 4.078460330629212, 4.043102534845735, 3.998867998390247, 3.956987832998318, 3.913443207029613, 3.913443207029613, 3.913443207029613, 3.913443207029613, 3.913443207029613, 3.913443207029613, 3.9131754392788087, 3.912104368275596, 3.912078824501035, 3.9120532807264743, 3.9120277369519143, 3.911976649402793, 3.911976649402793, 3.911976649402793, 3.911976649402793, 3.911871311377113, 3.9117659733514336, 3.911555297300075, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.911449959274396, 3.9072667004707595, 3.890533665256213, 3.890533665256213, 3.889820684020291, 3.8883947215484467, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033, 3.8869687590766033]"
100,"if_op(x, cos(squared(7)), if_op(squared(squared(squared(add(x, 4)))), add(sin(cos(tan(tan(8)))), add(tan(cos(protected_div(tan(4), protected_div(8, tan(add(mult(3, 4), tan(if_op(protected_div(tan(8), x), mult(protected_div(tan(5), protected_div(x, 7)), protected_div(5, 1)), add(1, 5), if_op(6, cos(3), tan(8), 3))))))))), 1)), sub(if_op(squared(7), cos(tan(add(tan(tan(cos(protected_div(tan(4), tan(sin(sub(tan(mult(x, 5)), add(sub(tan(mult(x, 5)), add(sin(cos(tan(tan(8)))), 1)), 1)))))))), tan(x)))), sub(if_op(mult(mult(sin(5), 8), cos(6)), add(tan(cos(protected_div(tan(4), protected_div(8, 7)))), 1), tan(1), protected_div(squared(0), tan(cos(tan(8))))), tan(tan(8))), sub(4, tan(sub(if_op(squared(7), cos(tan(1)), sub(tan(x), tan(tan(tan(tan(7))))), sub(4, tan(mult(protected_div(cos(squared(tan(mult(x, 5)))), add(cos(4), 8)), x)))), tan(tan(sin(sub(tan(mult(x, 5)), add(sin(cos(tan(tan(8)))), 1))))))))), tan(tan(sin(sub(tan(mult(x, 5)), add(sin(cos(tan(tan(8)))), 1)))))), sub(add(x, 4), tan(mult(squared(7), x)))), tan(1))","(0.736925569909732,)",200,21,"[6.2955553005630644, 5.6833703278158545, 5.6833703278158545, 5.6833703278158545, 5.6833703278158545, 5.6036300822512395, 5.4441495911220095, 5.2846690999927795, 5.2846690999927795, 5.2559268649521, 5.162320423264104, 5.161017651021119, 5.135797499894989, 5.014607581875544, 5.014607581875544, 4.994298268360621, 4.9333703278158545, 4.864505286612016, 4.632242334956926, 4.632242334956926, 4.556427602974916, 4.522647521571675, 4.4160150378904905, 4.260178517941159, 4.224631719981224, 4.224631719981224, 4.224631719981224, 4.145168243618811, 3.8982368046760127, 3.827314338169156, 3.827314338169156, 3.4931402542352394, 3.1589661703013228, 2.1564439184995723, 2.1564439184995723, 2.1564439184995723, 2.0052432090229098, 1.7553612342146376, 1.739973960485786, 1.739973960485786, 1.739973960485786, 1.739973960485786, 1.739973960485786, 1.7377489657598175, 1.7332989763078799, 1.7288489868559427, 1.6598119282198216, 1.5265594214959228, 1.4372426349297496, 1.4175953759212876, 1.4077717464170565, 1.4077717464170565, 1.4077717464170565, 1.4077717464170565, 1.4077717464170565, 1.4077717464170565, 1.4077717464170565, 1.4077717464170565, 1.4077717464170565, 1.3398114441822544, 1.0881905549710846, 1.0206760491328755, 1.0206760491328755, 0.972267372031222, 0.8270413407262623, 0.8270413407262623, 0.8061634976276768, 0.7755044106436674, 0.7718237894204368, 0.7706257619661149, 0.7706257619661149, 0.7699645224266056, 0.7694741660163664, 0.7693998709405171, 0.7693998709405171, 0.7691961714551219, 0.7689924719697266, 0.7683813735135412, 0.7683813735135412, 0.7683813735135412, 0.7683813735135412, 0.7683813735135412, 0.762102307772551, 0.762102307772551, 0.7558232420315607, 0.73698604480859, 0.73698604480859, 0.73698604480859, 0.73698604480859, 0.73698604480859, 0.7369756113467533, 0.7369651778849166, 0.7369338774994064, 0.7369338774994064, 0.7369338774994064, 0.7369338774994064, 0.7369322159814715, 0.7369321866705904, 0.7369288343238394, 0.736925569909732]"
